# Структура кредитного портфеля в разрезе групп рейтингов. Источник: форма 50, лист 50-2.
# Группы соответствуют полосам мастер-шкалы (Приложение № 4 к Политике): 1-13 / 14-33 / 34-50.
segment,group,2023_01_01,2024_01_01,2025_01_01,2026_01_01,2026_07_01
KB,low,19.3681,15.7535,26.2068,11.1271,27.8765
KB,moderate,64.9506,79.0434,69.5172,86.8030,70.2848
KB,high,15.6813,5.2032,4.2760,2.0699,1.8388
MSB,low,44.4019,64.7956,63.4232,53.7515,39.0187
MSB,moderate,48.1667,32.0310,34.5194,45.4263,59.9780
MSB,high,7.4314,3.1733,2.0574,0.8222,1.0033
