# Месячный ряд розничных метрик риск-аппетита, 36 точек 01.08.2023 — 01.07.2026.
# Источник: лист Monthly книги Приложения № 3 к Политике (получен 04.09.2026).
# Значения в процентах: в исходном листе они долями, здесь умножены на 100.
# Сверено с квартальной формой № 50 на 01.07.2026: максимальное расхождение 0,0009 пп.
# ОГОВОРКА (DECOMPOSITION § 10.2): из 36 месяцев с отчётностью сверены 20.
# Первые 16 — реконструкция, величин уполномоченный орган не видел.
metric;segment;limit_pct;2023-08-01;2023-09-01;2023-10-01;2023-11-01;2023-12-01;2024-01-01;2024-02-01;2024-03-01;2024-04-01;2024-05-01;2024-06-01;2024-07-01;2024-08-01;2024-09-01;2024-10-01;2024-11-01;2024-12-01;2025-01-01;2025-02-01;2025-03-01;2025-04-01;2025-05-01;2025-06-01;2025-07-01;2025-08-01;2025-09-01;2025-10-01;2025-11-01;2025-12-01;2026-01-01;2026-02-01;2026-03-01;2026-04-01;2026-05-01;2026-06-01;2026-07-01
el_total;RB;9.0;4.01893;4.006073;3.918858;3.916775;3.902911;3.860625;3.783252;3.753594;3.705587;3.746765;3.861943;3.763018;3.619708;3.587173;3.411962;3.067174;3.066544;3.032757;2.944715;2.92572;2.918222;2.896367;2.896783;2.784058;2.763943;2.682605;2.634274;2.58102;2.536831;2.615049;2.616212;2.671571;2.713037;2.711398;2.718967;2.757284
el_unsecured;RB;10.0;7.423354;7.500904;7.404206;7.442255;7.630703;7.607814;7.565199;7.556539;7.545619;7.541218;7.699862;7.656452;7.489877;7.385384;7.223349;6.880542;7.034851;7.219599;7.049311;7.13935;7.081359;7.078887;7.126308;7.074532;7.164825;7.147442;7.099976;7.092606;7.069679;7.031319;7.029701;7.028161;7.011424;7.3706;7.377971;7.566672
el_secured;RB;7.0;1.334152;1.334097;1.324876;1.363572;1.347993;1.424419;1.395834;1.412628;1.416922;1.481267;1.570876;1.497854;1.435108;1.443728;1.338809;1.235632;1.311974;1.327887;1.315344;1.32047;1.365542;1.381124;1.397907;1.370362;1.3795;1.349421;1.348437;1.322858;1.308495;1.427522;1.449854;1.528519;1.589895;1.552727;1.606792;1.635852
el_other;RB;10.0;3.326879;3.202222;3.1625;3.149127;3.160358;3.051504;3.056607;3.012888;3.014183;2.959452;3.013192;3.064589;2.827206;2.773865;2.754806;2.752117;2.65327;2.565213;2.612028;2.654717;2.738199;2.571633;2.445707;2.403899;2.404753;2.376893;2.546951;2.561576;2.542604;2.455625;2.303325;2.321167;2.289344;2.348211;2.306177;2.471786
pd_unsecured;RB;15.0;11.60745;11.60097;11.557592;11.600434;11.609779;11.578222;11.504748;11.470526;11.567866;11.537957;11.689138;11.74201;11.687766;11.716373;11.627811;11.221708;11.558577;11.760264;11.559204;11.592315;11.533197;11.505819;11.613521;11.503023;11.624704;11.571404;11.538188;11.503777;11.398796;11.227537;11.207139;11.177429;11.041782;11.006035;10.98054;10.961171
pd_unsecured_cash;RB;15.0;11.674808;11.668178;11.61045;11.661356;11.655618;11.614657;11.584871;11.584976;11.69753;11.659563;11.865741;11.917347;11.843573;11.888088;11.812672;11.320271;11.711669;11.95958;11.735592;11.762706;11.704674;11.675266;11.795348;11.668777;11.789555;11.726212;11.70914;11.651701;11.531915;11.341787;11.319256;11.279728;11.12813;11.092788;11.065915;11.046123
pd_unsecured_goods;RB;15.0;11.50521;11.50766;11.54243;11.55294;11.651115;11.668182;11.352983;11.106068;11.114965;11.141404;10.962641;11.007145;11.075746;11.00069;10.821536;10.931785;10.944521;10.843042;10.762585;10.804766;10.735113;10.688897;10.682042;10.659418;10.766198;10.756449;10.534971;10.655369;10.633609;10.600999;10.577046;10.597294;10.629639;10.577601;10.612922;10.586523
pd_secured;RB;7.0;4.686167;4.757833;4.71486;4.769401;4.703394;4.713498;4.709291;4.765951;4.872496;4.872588;5.174162;5.1579;5.192143;5.284508;5.078941;4.80978;5.05383;5.056691;5.062908;5.10031;5.158827;5.188293;5.265188;5.145208;5.170206;5.180577;5.147123;5.141497;5.07536;5.087058;5.094358;5.105313;5.097632;5.027749;5.033045;5.014115
pd_other;RB;14.0;5.170665;4.970544;4.914703;4.891764;4.888883;4.727811;4.681111;4.61092;4.614513;4.586092;4.54441;4.62125;4.498773;4.443795;4.469202;4.463136;4.299537;4.234974;4.355903;4.396757;4.471538;4.195269;4.12505;4.047016;4.042882;3.989124;4.268485;4.285341;4.248105;4.089569;3.828689;3.845012;3.778529;3.723774;3.646836;3.654987
