# Полочки витрины: одна полочка — один нормативный документ.
shelf;title;act;reqs;role;monitor_owner
N85CH11;Лимиты минимизации рисков;Нормативы АРРФР № 85 от 28.04.2026, гл. 11 (рег. № 38587);пп. 98–108;Восемь лимитов · сработка требует плана мероприятий в АРРФР;БРМ (5 из 8)
N85PRUD;Пруденциальные нормативы;Нормативы АРРФР № 85 от 28.04.2026 (рег. № 38587);гл. 3–9;Обязательные нормативы · их нарушение — признак ухудшения по ст. 85 п. 2 пп. 1;ДБУиО / Казначейство
N119;Признаки ухудшения финансовой устойчивости;АРРФР № 119 от 07.08.2026 (рег. № 39529);прил. 1–4;26 количественных показателей (основные и вспомогательные) и качественные признаки · вход в режимы;БРМ (кредитный блок)
VNDRA;Заявление риск-аппетита;Приложение № 3 к Политике, Методика с прил. № 1–2;п. 12, 14, 15 Политики;Внутренние уровни РА · отчёт по форме 50 · предлимиты по 8 метрикам из 25;БРМ
